"","Group1","Group2","P_value_adjusted","Variable","Tipo"
"131","Abialba_hotspot","Abialba_hotspot",NA,"chlor_b_fw_22","resp"
"132","Pinpine_coldspot","Abialba_hotspot",2.27391299584194e-09,"chlor_b_fw_22","resp"
"133","Pinpine_hotspot","Abialba_hotspot",1.62508274652102e-18,"chlor_b_fw_22","resp"
"134","Pinsylv_coldspot","Abialba_hotspot",1.60229026221749e-07,"chlor_b_fw_22","resp"
"135","Pinsylv_hotspot","Abialba_hotspot",2.64598512774047e-11,"chlor_b_fw_22","resp"
"136","Abialba_hotspot","Pinpine_coldspot",NA,"chlor_b_fw_22","resp"
"137","Pinpine_coldspot","Pinpine_coldspot",NA,"chlor_b_fw_22","resp"
"138","Pinpine_hotspot","Pinpine_coldspot",1,"chlor_b_fw_22","resp"
"139","Pinsylv_coldspot","Pinpine_coldspot",1.52897222741775e-09,"chlor_b_fw_22","resp"
"140","Pinsylv_hotspot","Pinpine_coldspot",4.98236930830157e-10,"chlor_b_fw_22","resp"
"141","Abialba_hotspot","Pinpine_hotspot",NA,"chlor_b_fw_22","resp"
"142","Pinpine_coldspot","Pinpine_hotspot",NA,"chlor_b_fw_22","resp"
"143","Pinpine_hotspot","Pinpine_hotspot",NA,"chlor_b_fw_22","resp"
"144","Pinsylv_coldspot","Pinpine_hotspot",5.39370819929458e-21,"chlor_b_fw_22","resp"
"145","Pinsylv_hotspot","Pinpine_hotspot",4.21750515851272e-22,"chlor_b_fw_22","resp"
"146","Abialba_hotspot","Pinsylv_coldspot",NA,"chlor_b_fw_22","resp"
"147","Pinpine_coldspot","Pinsylv_coldspot",NA,"chlor_b_fw_22","resp"
"148","Pinpine_hotspot","Pinsylv_coldspot",NA,"chlor_b_fw_22","resp"
"149","Pinsylv_coldspot","Pinsylv_coldspot",NA,"chlor_b_fw_22","resp"
"150","Pinsylv_hotspot","Pinsylv_coldspot",1,"chlor_b_fw_22","resp"
"151","Abialba_hotspot","Abialba_coldspot",0.362313046803452,"chla_chlb_22","resp"
"152","Pinpine_coldspot","Abialba_coldspot",1,"chla_chlb_22","resp"
"153","Pinpine_hotspot","Abialba_coldspot",0.63665825129493,"chla_chlb_22","resp"
"154","Pinsylv_coldspot","Abialba_coldspot",1,"chla_chlb_22","resp"
"155","Pinsylv_hotspot","Abialba_coldspot",1,"chla_chlb_22","resp"
"156","Abialba_hotspot","Abialba_hotspot",NA,"chla_chlb_22","resp"
"157","Pinpine_coldspot","Abialba_hotspot",1,"chla_chlb_22","resp"
"158","Pinpine_hotspot","Abialba_hotspot",1,"chla_chlb_22","resp"
"159","Pinsylv_coldspot","Abialba_hotspot",4.86197328769644e-06,"chla_chlb_22","resp"
"160","Pinsylv_hotspot","Abialba_hotspot",0.00547264653430903,"chla_chlb_22","resp"
"161","Abialba_hotspot","Pinpine_coldspot",NA,"chla_chlb_22","resp"
"162","Pinpine_coldspot","Pinpine_coldspot",NA,"chla_chlb_22","resp"
"163","Pinpine_hotspot","Pinpine_coldspot",1,"chla_chlb_22","resp"
"164","Pinsylv_coldspot","Pinpine_coldspot",0.00998902061544936,"chla_chlb_22","resp"
"165","Pinsylv_hotspot","Pinpine_coldspot",0.617784524064716,"chla_chlb_22","resp"
"166","Abialba_hotspot","Pinpine_hotspot",NA,"chla_chlb_22","resp"
"167","Pinpine_coldspot","Pinpine_hotspot",NA,"chla_chlb_22","resp"
"168","Pinpine_hotspot","Pinpine_hotspot",NA,"chla_chlb_22","resp"
"169","Pinsylv_coldspot","Pinpine_hotspot",2.19639741784231e-07,"chla_chlb_22","resp"
"170","Pinsylv_hotspot","Pinpine_hotspot",0.00176154505013879,"chla_chlb_22","resp"
"171","Abialba_hotspot","Pinsylv_coldspot",NA,"chla_chlb_22","resp"
"172","Pinpine_coldspot","Pinsylv_coldspot",NA,"chla_chlb_22","resp"
"173","Pinpine_hotspot","Pinsylv_coldspot",NA,"chla_chlb_22","resp"
"174","Pinsylv_coldspot","Pinsylv_coldspot",NA,"chla_chlb_22","resp"
"175","Pinsylv_hotspot","Pinsylv_coldspot",0.0192050680466713,"chla_chlb_22","resp"
"176","Abialba_hotspot","Abialba_coldspot",1,"xc_fw_22","resp"
"177","Pinpine_coldspot","Abialba_coldspot",6.79712499592511e-10,"xc_fw_22","resp"
"178","Pinpine_hotspot","Abialba_coldspot",8.93357858757373e-20,"xc_fw_22","resp"
"179","Pinsylv_coldspot","Abialba_coldspot",5.26675751922987e-12,"xc_fw_22","resp"
"180","Pinsylv_hotspot","Abialba_coldspot",1.06827474453089e-18,"xc_fw_22","resp"
"181","Abialba_hotspot","Abialba_hotspot",NA,"xc_fw_22","resp"
"182","Pinpine_coldspot","Abialba_hotspot",8.09755934560446e-10,"xc_fw_22","resp"
"183","Pinpine_hotspot","Abialba_hotspot",2.66143027440658e-19,"xc_fw_22","resp"
"184","Pinsylv_coldspot","Abialba_hotspot",1.44852638256905e-12,"xc_fw_22","resp"
"185","Pinsylv_hotspot","Abialba_hotspot",5.11027684832679e-19,"xc_fw_22","resp"
"186","Abialba_hotspot","Pinpine_coldspot",NA,"xc_fw_22","resp"
"187","Pinpine_coldspot","Pinpine_coldspot",NA,"xc_fw_22","resp"
"188","Pinpine_hotspot","Pinpine_coldspot",1,"xc_fw_22","resp"
"189","Pinsylv_coldspot","Pinpine_coldspot",2.65795551783565e-08,"xc_fw_22","resp"
"190","Pinsylv_hotspot","Pinpine_coldspot",3.3052971200209e-09,"xc_fw_22","resp"
"191","Abialba_hotspot","Pinpine_hotspot",NA,"xc_fw_22","resp"
"192","Pinpine_coldspot","Pinpine_hotspot",NA,"xc_fw_22","resp"
"193","Pinpine_hotspot","Pinpine_hotspot",NA,"xc_fw_22","resp"
"194","Pinsylv_coldspot","Pinpine_hotspot",7.37544888085091e-17,"xc_fw_22","resp"
"195","Pinsylv_hotspot","Pinpine_hotspot",1.0357461875857e-18,"xc_fw_22","resp"
"196","Abialba_hotspot","Pinsylv_coldspot",NA,"xc_fw_22","resp"
"197","Pinpine_coldspot","Pinsylv_coldspot",NA,"xc_fw_22","resp"
"198","Pinpine_hotspot","Pinsylv_coldspot",NA,"xc_fw_22","resp"
"199","Pinsylv_coldspot","Pinsylv_coldspot",NA,"xc_fw_22","resp"
"200","Pinsylv_hotspot","Pinsylv_coldspot",0.474094333368484,"xc_fw_22","resp"
"201","Abialba_hotspot","Abialba_coldspot",0.000705529000255388,"chl_xc_22","resp"
"202","Pinpine_coldspot","Abialba_coldspot",1.16420663310622e-06,"chl_xc_22","resp"
"203","Pinpine_hotspot","Abialba_coldspot",1.66276056015672e-10,"chl_xc_22","resp"
"204","Pinsylv_coldspot","Abialba_coldspot",0.733941885232206,"chl_xc_22","resp"
"205","Pinsylv_hotspot","Abialba_coldspot",1,"chl_xc_22","resp"
"206","Abialba_hotspot","Abialba_hotspot",NA,"chl_xc_22","resp"
"207","Pinpine_coldspot","Abialba_hotspot",1,"chl_xc_22","resp"
"208","Pinpine_hotspot","Abialba_hotspot",0.444166366984351,"chl_xc_22","resp"
"209","Pinsylv_coldspot","Abialba_hotspot",3.38717128801919e-07,"chl_xc_22","resp"
"210","Pinsylv_hotspot","Abialba_hotspot",5.4223802488728e-07,"chl_xc_22","resp"
"211","Abialba_hotspot","Pinpine_coldspot",NA,"chl_xc_22","resp"
"212","Pinpine_coldspot","Pinpine_coldspot",NA,"chl_xc_22","resp"
"213","Pinpine_hotspot","Pinpine_coldspot",1,"chl_xc_22","resp"
"214","Pinsylv_coldspot","Pinpine_coldspot",2.04406279035909e-07,"chl_xc_22","resp"
"215","Pinsylv_hotspot","Pinpine_coldspot",2.28252340037443e-07,"chl_xc_22","resp"
"216","Abialba_hotspot","Pinpine_hotspot",NA,"chl_xc_22","resp"
"217","Pinpine_coldspot","Pinpine_hotspot",NA,"chl_xc_22","resp"
"218","Pinpine_hotspot","Pinpine_hotspot",NA,"chl_xc_22","resp"
"219","Pinsylv_coldspot","Pinpine_hotspot",3.25271256761767e-15,"chl_xc_22","resp"
"220","Pinsylv_hotspot","Pinpine_hotspot",1.64117787827371e-15,"chl_xc_22","resp"
"221","Abialba_hotspot","Pinsylv_coldspot",NA,"chl_xc_22","resp"
"222","Pinpine_coldspot","Pinsylv_coldspot",NA,"chl_xc_22","resp"
"223","Pinpine_hotspot","Pinsylv_coldspot",NA,"chl_xc_22","resp"
"224","Pinsylv_coldspot","Pinsylv_coldspot",NA,"chl_xc_22","resp"
"225","Pinsylv_hotspot","Pinsylv_coldspot",1,"chl_xc_22","resp"
"226","Abialba_hotspot","Abialba_coldspot",0.726977262993727,"percent_c","resp"
"227","Pinpine_coldspot","Abialba_coldspot",1,"percent_c","resp"
"228","Pinpine_hotspot","Abialba_coldspot",1,"percent_c","resp"
"229","Pinsylv_coldspot","Abialba_coldspot",0.368011306343167,"percent_c","resp"
"230","Pinsylv_hotspot","Abialba_coldspot",2.45085488049387e-09,"percent_c","resp"
"231","Abialba_hotspot","Abialba_hotspot",NA,"percent_c","resp"
"232","Pinpine_coldspot","Abialba_hotspot",1,"percent_c","resp"
"233","Pinpine_hotspot","Abialba_hotspot",1,"percent_c","resp"
"234","Pinsylv_coldspot","Abialba_hotspot",0.018758001794031,"percent_c","resp"
"235","Pinsylv_hotspot","Abialba_hotspot",1.08980683780064e-11,"percent_c","resp"
"236","Abialba_hotspot","Pinpine_coldspot",NA,"percent_c","resp"
"237","Pinpine_coldspot","Pinpine_coldspot",NA,"percent_c","resp"
"238","Pinpine_hotspot","Pinpine_coldspot",1,"percent_c","resp"
"239","Pinsylv_coldspot","Pinpine_coldspot",0.624134891790443,"percent_c","resp"
"240","Pinsylv_hotspot","Pinpine_coldspot",0.000184065378197334,"percent_c","resp"
"241","Abialba_hotspot","Pinpine_hotspot",NA,"percent_c","resp"
"242","Pinpine_coldspot","Pinpine_hotspot",NA,"percent_c","resp"
"243","Pinpine_hotspot","Pinpine_hotspot",NA,"percent_c","resp"
"244","Pinsylv_coldspot","Pinpine_hotspot",0.0124185605811344,"percent_c","resp"
"245","Pinsylv_hotspot","Pinpine_hotspot",3.7181343591439e-12,"percent_c","resp"
"246","Abialba_hotspot","Pinsylv_coldspot",NA,"percent_c","resp"
"247","Pinpine_coldspot","Pinsylv_coldspot",NA,"percent_c","resp"
"248","Pinpine_hotspot","Pinsylv_coldspot",NA,"percent_c","resp"
"249","Pinsylv_coldspot","Pinsylv_coldspot",NA,"percent_c","resp"
"250","Pinsylv_hotspot","Pinsylv_coldspot",8.54247281026062e-05,"percent_c","resp"
"251","Abialba_hotspot","Abialba_coldspot",1,"percent_n","resp"
"252","Pinpine_coldspot","Abialba_coldspot",8.09648052777319e-05,"percent_n","resp"
"253","Pinpine_hotspot","Abialba_coldspot",2.83785124977702e-09,"percent_n","resp"
"254","Pinsylv_coldspot","Abialba_coldspot",0.000825290665553339,"percent_n","resp"
"255","Pinsylv_hotspot","Abialba_coldspot",5.92461839378727e-07,"percent_n","resp"
"256","Abialba_hotspot","Abialba_hotspot",NA,"percent_n","resp"
"257","Pinpine_coldspot","Abialba_hotspot",6.13758647492701e-05,"percent_n","resp"
"258","Pinpine_hotspot","Abialba_hotspot",3.95566411901705e-09,"percent_n","resp"
"259","Pinsylv_coldspot","Abialba_hotspot",0.000485674479182988,"percent_n","resp"
"260","Pinsylv_hotspot","Abialba_hotspot",1.30830890988204e-07,"percent_n","resp"
"261","Abialba_hotspot","Pinpine_coldspot",NA,"percent_n","resp"
"262","Pinpine_coldspot","Pinpine_coldspot",NA,"percent_n","resp"
"263","Pinpine_hotspot","Pinpine_coldspot",0.648165191820456,"percent_n","resp"
"264","Pinsylv_coldspot","Pinpine_coldspot",9.58783370993616e-08,"percent_n","resp"
"265","Pinsylv_hotspot","Pinpine_coldspot",1.13929235021953e-08,"percent_n","resp"
"266","Abialba_hotspot","Pinpine_hotspot",NA,"percent_n","resp"
"267","Pinpine_coldspot","Pinpine_hotspot",NA,"percent_n","resp"
"268","Pinpine_hotspot","Pinpine_hotspot",NA,"percent_n","resp"
"269","Pinsylv_coldspot","Pinpine_hotspot",7.42484114275097e-17,"percent_n","resp"
"270","Pinsylv_hotspot","Pinpine_hotspot",8.77276781369278e-22,"percent_n","resp"
"271","Abialba_hotspot","Pinsylv_coldspot",NA,"percent_n","resp"
"272","Pinpine_coldspot","Pinsylv_coldspot",NA,"percent_n","resp"
"273","Pinpine_hotspot","Pinsylv_coldspot",NA,"percent_n","resp"
"274","Pinsylv_coldspot","Pinsylv_coldspot",NA,"percent_n","resp"
"275","Pinsylv_hotspot","Pinsylv_coldspot",1,"percent_n","resp"
"276","Abialba_hotspot","Abialba_coldspot",1,"cn_ratio","resp"
"277","Pinpine_coldspot","Abialba_coldspot",0.000100532632565764,"cn_ratio","resp"
"278","Pinpine_hotspot","Abialba_coldspot",8.43247056647564e-09,"cn_ratio","resp"
"279","Pinsylv_coldspot","Abialba_coldspot",0.0330631904492871,"cn_ratio","resp"
"280","Pinsylv_hotspot","Abialba_coldspot",0.00206457320567909,"cn_ratio","resp"
"281","Abialba_hotspot","Abialba_hotspot",NA,"cn_ratio","resp"
"282","Pinpine_coldspot","Abialba_hotspot",5.46832486581245e-05,"cn_ratio","resp"
"283","Pinpine_hotspot","Abialba_hotspot",1.29356892664151e-09,"cn_ratio","resp"
"284","Pinsylv_coldspot","Abialba_hotspot",0.0421803684773671,"cn_ratio","resp"
"285","Pinsylv_hotspot","Abialba_hotspot",0.00338716586194693,"cn_ratio","resp"
"286","Abialba_hotspot","Pinpine_coldspot",NA,"cn_ratio","resp"
"287","Pinpine_coldspot","Pinpine_coldspot",NA,"cn_ratio","resp"
"288","Pinpine_hotspot","Pinpine_coldspot",0.428191032804099,"cn_ratio","resp"
"289","Pinsylv_coldspot","Pinpine_coldspot",3.52323299000982e-07,"cn_ratio","resp"
"290","Pinsylv_hotspot","Pinpine_coldspot",2.66919134197148e-07,"cn_ratio","resp"
"291","Abialba_hotspot","Pinpine_hotspot",NA,"cn_ratio","resp"
"292","Pinpine_coldspot","Pinpine_hotspot",NA,"cn_ratio","resp"
"293","Pinpine_hotspot","Pinpine_hotspot",NA,"cn_ratio","resp"
"294","Pinsylv_coldspot","Pinpine_hotspot",5.27581451649522e-15,"cn_ratio","resp"
"295","Pinsylv_hotspot","Pinpine_hotspot",5.23505278562488e-18,"cn_ratio","resp"
"296","Abialba_hotspot","Pinsylv_coldspot",NA,"cn_ratio","resp"
"297","Pinpine_coldspot","Pinsylv_coldspot",NA,"cn_ratio","resp"
"298","Pinpine_hotspot","Pinsylv_coldspot",NA,"cn_ratio","resp"
"299","Pinsylv_coldspot","Pinsylv_coldspot",NA,"cn_ratio","resp"
"300","Pinsylv_hotspot","Pinsylv_coldspot",1,"cn_ratio","resp"
"301","Abialba_hotspot","Abialba_coldspot",0.026416854864623,"leaf_d13c","resp"
"302","Pinpine_coldspot","Abialba_coldspot",6.79712499592511e-10,"leaf_d13c","resp"
"303","Pinpine_hotspot","Abialba_coldspot",3.93973600432776e-20,"leaf_d13c","resp"
"304","Pinsylv_coldspot","Abialba_coldspot",1.01848000802409e-14,"leaf_d13c","resp"
"305","Pinsylv_hotspot","Abialba_coldspot",9.00509617977548e-18,"leaf_d13c","resp"
"306","Abialba_hotspot","Abialba_hotspot",NA,"leaf_d13c","resp"
"307","Pinpine_coldspot","Abialba_hotspot",4.95103552296587e-09,"leaf_d13c","resp"
"308","Pinpine_hotspot","Abialba_hotspot",5.77946877127066e-18,"leaf_d13c","resp"
"309","Pinsylv_coldspot","Abialba_hotspot",1.96977219111792e-08,"leaf_d13c","resp"
"310","Pinsylv_hotspot","Abialba_hotspot",3.09001071749461e-11,"leaf_d13c","resp"
"311","Abialba_hotspot","Pinpine_coldspot",NA,"leaf_d13c","resp"
"312","Pinpine_coldspot","Pinpine_coldspot",NA,"leaf_d13c","resp"
"313","Pinpine_hotspot","Pinpine_coldspot",1,"leaf_d13c","resp"
"314","Pinsylv_coldspot","Pinpine_coldspot",0.000115211275351904,"leaf_d13c","resp"
"315","Pinsylv_hotspot","Pinpine_coldspot",0.000607431516630882,"leaf_d13c","resp"
"316","Abialba_hotspot","Pinpine_hotspot",NA,"leaf_d13c","resp"
"317","Pinpine_coldspot","Pinpine_hotspot",NA,"leaf_d13c","resp"
