"","vigor_id","emmean","SE","df","lower.CL","upper.CL","variable","significant","sp_id"
"46","hot_damaged",0.554081992621629,0.0343342767288348,33,0.484228381389956,0.623935603853302,"Rt22","no","Abialba"
"47","hot_healthy",0.933994762063048,0.04412577191387,35,0.844414682660534,1.02357484146556,"Rs12","no","Abialba"
"48","hot_damaged",0.937620394166388,0.0565577619915391,35,0.822802033143268,1.05243875518951,"Rs12","no","Abialba"
"49","hot_healthy",0.877588025110342,0.0619632088131865,33,0.751522928900866,1.00365312131982,"Rs17","no","Abialba"
"50","hot_damaged",0.913849075400928,0.0806071496262937,33,0.749852596402446,1.07784555439941,"Rs17","no","Abialba"
"51","hot_healthy",14.8255813953488,0.359460158494193,122,14.113994109273,15.5371686814247,"height","no","Pinsylv"
"52","hot_damaged",14.3814814814815,0.261904210140169,122,13.8630159389129,14.8999470240501,"height","no","Pinsylv"
"53","hot_healthy",40.7488372093023,1.35448106371868,123,38.0677249935513,43.4299494250534,"dbh","no","Pinsylv"
"54","hot_damaged",38.490243902439,0.980844676639925,123,36.5487220054302,40.4317657994479,"dbh","no","Pinsylv"
"55","hot_healthy",17.0769231907797,1.17644541287542,121,14.7478391938033,19.4060071877562,"hegyi_index","yes","Pinsylv"
"56","hot_damaged",13.6609151873295,0.862503795697821,121,11.9533614275836,15.3684689470754,"hegyi_index","yes","Pinsylv"
"57","hot_healthy",54.073513317615,0.523243229892233,123,53.0377854266531,55.1092412085768,"wc_22","yes","Pinsylv"
"58","hot_damaged",52.2787802270162,0.378905508814313,123,51.5287600048742,53.0288004491582,"wc_22","yes","Pinsylv"
"59","hot_healthy",49.8717035141042,0.3014523804326,123,49.2749970105624,50.4684100176459,"percent_c","no","Pinsylv"
"60","hot_damaged",49.4698593485721,0.218296121317471,123,49.0377555612305,49.9019631359137,"percent_c","no","Pinsylv"
"61","hot_healthy",1.43851934483097,0.0769014273033347,123,1.28629768468786,1.59074100497408,"percent_n","no","Pinsylv"
"62","hot_damaged",1.53433481045874,0.055688010424747,123,1.42410380832811,1.64456581258936,"percent_n","no","Pinsylv"
"63","hot_healthy",36.7930593466193,1.47449719550402,123,33.8743825567771,39.7117361364615,"cn","no","Pinsylv"
"64","hot_damaged",35.5771424442313,1.06775411164479,123,33.4635886494742,37.6906962389885,"cn","no","Pinsylv"
"65","hot_healthy",42.9807216992231,1.82162330081111,111,39.3710535224228,46.5903898760235,"sla_22","no","Pinsylv"
"66","hot_damaged",46.765605474738,1.16995874848172,111,44.4472541115977,49.0839568378783,"sla_22","no","Pinsylv"
"67","hot_healthy",112.609756097561,6.06402935665128,115,100.598081018431,124.621431176691,"age","no","Pinsylv"
"68","hot_damaged",125.407894736842,4.45396117838626,115,116.585454846911,134.230334626774,"age","no","Pinsylv"
"69","hot_healthy",854.299594673328,28.4639775292619,122,797.952308215155,910.646881131501,"chlor_a_fw_22","yes","Pinsylv"
"70","hot_damaged",723.976464323034,20.7389758672498,122,682.92159021629,765.031338429779,"chlor_a_fw_22","yes","Pinsylv"
"71","hot_healthy",376.398243758076,11.7523653361242,122,353.133262766754,399.663224749397,"chlor_b_fw_22","yes","Pinsylv"
"72","hot_damaged",333.913170225506,8.56282368964135,122,316.96220548999,350.864134961023,"chlor_b_fw_22","yes","Pinsylv"
"73","hot_healthy",1230.6978384314,39.4757480816746,122,1152.55165232575,1308.84402453706,"total_chl_fw_22","yes","Pinsylv"
"74","hot_damaged",1057.88963454854,28.7621990273792,122,1000.95198884893,1114.82728024815,"total_chl_fw_22","yes","Pinsylv"
"75","hot_healthy",39.6108546035416,1.04967479341765,122,37.5329185100416,41.6887906970417,"xc_fw_22","no","Pinsylv"
"76","hot_damaged",36.9070571037994,0.764797547593958,122,35.3930639715155,38.4210502360832,"xc_fw_22","no","Pinsylv"
"77","hot_healthy",2.26102510365326,0.0320804069621195,122,2.19751873392925,2.32453147337728,"chla_chlb_22","no","Pinsylv"
"78","hot_damaged",2.17564637206341,0.0233739218320764,122,2.12937535924488,2.22191738488194,"chla_chlb_22","no","Pinsylv"
"79","hot_healthy",30.8766815443487,0.534254923807422,122,29.8190705620986,31.9342925265987,"chl_xc_22","yes","Pinsylv"
"80","hot_damaged",28.6707012794772,0.389260424352535,122,27.9001213907293,29.4412811682252,"chl_xc_22","yes","Pinsylv"
"81","hot_healthy",-26.418213258918,0.220993691557485,123,-26.8556567211484,-25.9807697966875,"leaf_d13c","no","Pinsylv"
"82","hot_damaged",-26.7971920171595,0.160032127241452,123,-27.113965800679,-26.48041823364,"leaf_d13c","no","Pinsylv"
"83","hot_healthy",-5.49923354213842,0.267609361028345,123,-6.02894986385102,-4.96951722042582,"leaf_d15n","yes","Pinsylv"
"84","hot_damaged",-6.40121137170233,0.193788768418088,123,-6.78480435664567,-6.01761838675898,"leaf_d15n","yes","Pinsylv"
"85","hot_healthy",19.0657776363854,0.364805098204414,123,18.3436683124803,19.7878869602905,"leaf_d18o_corrected","no","Pinsylv"
"86","hot_damaged",18.9154274291589,0.264172861599505,123,18.3925134473571,19.4383414109608,"leaf_d18o_corrected","no","Pinsylv"
"87","hot_healthy",741.016634146342,56.8818872245666,115,628.344562979698,853.688705312985,"mean_1980","yes","Pinsylv"
"88","hot_damaged",477.79352631579,41.7791047092607,115,395.037160647116,560.549891984463,"mean_1980","yes","Pinsylv"
"89","hot_healthy",745.142414634147,60.9103404897716,113,624.468044370552,865.816784897742,"mean_05","yes","Pinsylv"
"90","hot_damaged",403.446824324324,45.3384945805968,113,313.623089335818,493.270559312831,"mean_05","yes","Pinsylv"
"91","hot_healthy",0.713194882352782,0.0473219012786172,113,0.619441660969426,0.806948103736138,"Rt12","no","Pinsylv"
"92","hot_damaged",0.623106575066567,0.0352239660361841,113,0.55332154537499,0.692891604758144,"Rt12","no","Pinsylv"
"93","hot_healthy",1.00577636354309,0.0518555994459644,113,0.903041068395073,1.10851165869111,"Rt17","no","Pinsylv"
"94","hot_damaged",0.994621082173488,0.0385986155314509,113,0.91815026318198,1.071091901165,"Rt17","no","Pinsylv"
"95","hot_healthy",0.964372738890203,0.0493069665090788,110,0.866657904495247,1.06208757328516,"Rt22","no","Pinsylv"
"96","hot_damaged",0.945642846129514,0.0374689081997598,110,0.871388264699825,1.0198974275592,"Rt22","no","Pinsylv"
"97","hot_healthy",0.772773899152589,0.0301762876831639,113,0.712989230674659,0.83255856763052,"Rs12","yes","Pinsylv"
"98","hot_damaged",0.671390598815187,0.0224616615928359,113,0.626889996027642,0.715891201602733,"Rs12","yes","Pinsylv"
"99","hot_healthy",1.39655377328898,0.0999052892634423,111,1.19858477322859,1.59452277334937,"Rs17","no","Pinsylv"
"100","hot_damaged",1.45580856425074,0.0753900726347915,111,1.30641810250417,1.6051990259973,"Rs17","no","Pinsylv"
"101","hot_healthy",13.0146341463415,0.566049921906104,62,11.8831164752322,14.1461518174507,"height","no","Pinpine"
"102","hot_damaged",12.9521739130435,0.75575798627103,62,11.4414352247172,14.4629126013698,"height","no","Pinpine"
"103","hot_healthy",46.0487804878049,1.41540348254353,62,43.2194292410905,48.8781317345193,"dbh","no","Pinpine"
"104","hot_damaged",48.2565217391304,1.88976704055714,62,44.4789312512283,52.0341122270326,"dbh","no","Pinpine"
"105","hot_healthy",28.1476714075881,2.15568690788677,62,23.8385146790807,32.4568281360955,"hegyi_index","no","Pinpine"
"106","hot_damaged",32.1195050104384,2.87815179101036,62,26.36616155851,37.8728484623667,"hegyi_index","no","Pinpine"
"107","hot_healthy",54.689317754602,0.293833643283912,58,54.1011458134105,55.2774896957935,"wc_22","no","Pinpine"
"108","hot_damaged",54.4189583521131,0.400427758605266,58,53.6174151065759,55.2205015976504,"wc_22","no","Pinpine"
"109","hot_healthy",47.5139929356513,0.274838787489871,61,46.9644188141151,48.0635670571874,"percent_c","no","Pinpine"
"110","hot_damaged",47.4206495217406,0.375196356075116,61,46.6703980391287,48.1709010043526,"percent_c","no","Pinpine"
"111","hot_healthy",0.994800370573995,0.0221212123226732,61,0.950566272684897,1.03903446846309,"percent_n","no","Pinpine"
"112","hot_damaged",0.95191715955865,0.0301987879193974,61,0.891530950996763,1.01230336812054,"percent_n","no","Pinpine"
"113","hot_healthy",48.8051890682238,1.10184117897756,61,46.6019214598216,51.008456676626,"cn","no","Pinpine"
