"","spot_status","emmean","SE","df","lower.CL","upper.CL","variable","significant","sp_id"
"36","hotspot",35.5058828499083,0.174303517724,108,35.1603830390285,35.851382660788,"leaf_d18o_corrected","yes","Abialba"
"37","coldspot",2311.43595,142.434034121159,75,2027.69280382401,2595.17909617599,"mean_1980","yes","Abialba"
"38","hotspot",881.299783783784,148.095856744524,75,586.277708564211,1176.32185900336,"mean_1980","yes","Abialba"
"39","coldspot",1262.31853846154,110.354361547008,74,1042.4326731962,1482.20440372687,"mean_05","yes","Abialba"
"40","hotspot",739.153621621621,113.297660979347,74,513.403104218009,964.904139025232,"mean_05","yes","Abialba"
"41","coldspot",0.763154992212703,0.0266155154692994,74,0.710122419993463,0.816187564431943,"Rt12","no","Abialba"
"42","hotspot",0.840437009587075,0.0273253871089338,74,0.785989987249868,0.894884031924282,"Rt12","no","Abialba"
"43","coldspot",0.868438514291942,0.0309485144889836,74,0.806772253061405,0.930104775522479,"Rt17","no","Abialba"
"44","hotspot",0.894354142296788,0.0317739530475523,74,0.831043158835703,0.957665125757873,"Rt17","no","Abialba"
"45","coldspot",0.595228443920216,0.0257279068744413,71,0.543928454639374,0.646528433201058,"Rt22","no","Abialba"
"46","hotspot",0.611803500970668,0.0268078652111743,71,0.558350135926748,0.665256866014589,"Rt22","no","Abialba"
"47","coldspot",0.856690077129106,0.0386196619301739,74,0.779738720964052,0.933641433294161,"Rs12","no","Abialba"
"48","hotspot",0.935366622858906,0.0396497003214318,74,0.856362870397564,1.01437037532025,"Rs12","no","Abialba"
"49","coldspot",0.855805437780673,0.0436678877983666,72,0.76875509442155,0.942855781139795,"Rs17","no","Abialba"
"50","hotspot",0.891056415218274,0.0460957055843162,72,0.799166305556367,0.982946524880181,"Rs17","no","Abialba"
"51","coldspot",17.1948148148148,0.319518158692388,265,16.5656975292586,17.823932100371,"height","yes","Pinsylv"
"52","hotspot",14.5151515151515,0.323128647967373,265,13.8789253340587,15.1513776962444,"height","yes","Pinsylv"
"53","coldspot",41.6177777777778,0.755984751086017,266,40.129302524654,43.1062530309016,"dbh","yes","Pinsylv"
"54","hotspot",38.9496240601504,0.76164763735058,266,37.4499990238412,40.4492490964595,"dbh","yes","Pinsylv"
"55","coldspot",12.8676261408716,0.573907260878189,264,11.7376081980835,13.9976440836597,"hegyi_index","yes","Pinsylv"
"56","hotspot",14.6007655886982,0.582603320797601,264,13.453625186568,15.7479059908284,"hegyi_index","yes","Pinsylv"
"57","coldspot",56.3097751860638,0.333928534681887,259,55.652214617283,56.9673357548446,"wc_22","yes","Pinsylv"
"58","hotspot",52.583703384376,0.327591553904055,259,51.9386213798742,53.2287853888778,"wc_22","yes","Pinsylv"
"59","coldspot",48.395487274966,0.186788733262499,258,48.0276626424927,48.7633119074394,"percent_c","yes","Pinsylv"
"60","hotspot",49.5518987745243,0.182526832325002,258,49.192466683285,49.9113308657636,"percent_c","yes","Pinsylv"
"61","coldspot",1.69848836745858,0.0576152822171531,258,1.5850322738483,1.81194446106885,"percent_n","yes","Pinsylv"
"62","hotspot",1.50845160887085,0.0563006920863321,258,1.39758420796851,1.61931900977318,"percent_n","yes","Pinsylv"
"63","coldspot",33.7877462087138,0.989499751579093,258,31.8392219262262,35.7362704912015,"cn","no","Pinsylv"
"64","hotspot",35.9357412987351,0.966922640822732,258,34.0316758940461,37.8398067034242,"cn","no","Pinsylv"
"65","coldspot",46.4749561807472,0.994123110358323,235,44.516424237897,48.4334881235974,"sla_22","no","Pinsylv"
"66","hotspot",45.8258881863566,0.9490051060231,235,43.9562436778367,47.6955326948765,"sla_22","no","Pinsylv"
"67","coldspot",88.7795275590551,3.13129613977805,247,82.6120804792998,94.9469746388103,"age","yes","Pinsylv"
"68","hotspot",127.950819672131,3.19481774333751,247,121.658259504732,134.24337983953,"age","yes","Pinsylv"
"69","coldspot",835.63890965201,19.8889454481914,260,796.474990434782,874.802828869237,"chlor_a_fw_22","yes","Pinsylv"
"70","hotspot",742.381856652568,19.7376965197094,260,703.515766238391,781.247947066746,"chlor_a_fw_22","yes","Pinsylv"
"71","coldspot",363.51755335438,7.61084579415746,260,348.530808550157,378.504298158603,"chlor_b_fw_22","yes","Pinsylv"
"72","hotspot",340.254904977634,7.55296779986124,260,325.382129468514,355.127680486755,"chlor_b_fw_22","yes","Pinsylv"
"73","coldspot",1199.15646300639,27.0317399814989,260,1145.92745276579,1252.38547324699,"total_chl_fw_22","yes","Pinsylv"
"74","hotspot",1082.6367616302,26.8261724355545,260,1029.81254061204,1135.46098264837,"total_chl_fw_22","yes","Pinsylv"
"75","coldspot",40.2333512876345,0.761236197357894,260,38.7343782517732,41.7323243234957,"xc_fw_22","yes","Pinsylv"
"76","hotspot",37.2708964324868,0.755447244923386,260,35.7833225965524,38.7584702684213,"xc_fw_22","yes","Pinsylv"
"77","coldspot",2.28879727803693,0.0219336812228086,260,2.24560700825696,2.3319875478169,"chla_chlb_22","yes","Pinsylv"
"78","hotspot",2.18311021086484,0.0217668827471802,260,2.14024838896774,2.22597203276193,"chla_chlb_22","yes","Pinsylv"
"79","coldspot",29.8263210917943,0.337810747133601,260,29.161127814156,30.4915143694326,"chl_xc_22","no","Pinsylv"
"80","hotspot",28.9403491334827,0.335241806831223,260,28.2802144332706,29.6004838336947,"chl_xc_22","no","Pinsylv"
"81","coldspot",-26.9400354784538,0.133491698372516,258,-27.2029075159397,-26.6771634409679,"leaf_d13c","no","Pinsylv"
"82","hotspot",-26.7439595125045,0.130445859447947,258,-27.0008336797579,-26.4870853452512,"leaf_d13c","no","Pinsylv"
"83","coldspot",-4.69829918533132,0.17036776065887,258,-5.03378761579034,-4.36281075487231,"leaf_d15n","yes","Pinsylv"
"84","hotspot",-6.39543318866389,0.166480531990474,258,-6.72326688304049,-6.06759949428729,"leaf_d15n","yes","Pinsylv"
"85","coldspot",37.046002941541,0.193098692962894,256,36.6657387273625,37.4262671557195,"leaf_d18o_corrected","yes","Pinsylv"
"86","hotspot",36.190985587083,0.187201153380653,256,35.8223352436171,36.559635930549,"leaf_d18o_corrected","yes","Pinsylv"
"87","coldspot",1066.23481746032,40.8623696157245,246,985.750080498139,1146.7195544225,"mean_1980","yes","Pinsylv"
"88","hotspot",503.833147540985,41.526841959041,246,422.039629852837,585.626665229132,"mean_1980","yes","Pinsylv"
"89","coldspot",968.231919354838,43.0968413809888,241,883.337338617229,1053.12650009245,"mean_05","yes","Pinsylv"
"90","hotspot",436.451378151261,43.9929214503101,241,349.791648522116,523.111107780406,"mean_05","yes","Pinsylv"
"91","coldspot",0.88887844521908,0.0236912761055403,244,0.842212933353687,0.935543957084473,"Rt12","yes","Pinsylv"
"92","hotspot",0.630267447596063,0.0242763339836226,244,0.582449527340764,0.678085367851361,"Rt12","yes","Pinsylv"
"93","coldspot",0.924613852768332,0.0262430191987476,242,0.872919956385233,0.976307749151432,"Rt17","no","Pinsylv"
"94","hotspot",0.971406100256936,0.026896472400487,242,0.9184250218676,1.02438717864627,"Rt17","no","Pinsylv"
"95","coldspot",0.912162933809011,0.0248535131686051,232,0.863195499902287,0.961130367715735,"Rt22","no","Pinsylv"
"96","hotspot",0.944282079816507,0.0252820535939801,232,0.894470317592351,0.994093842040662,"Rt22","no","Pinsylv"
"97","coldspot",0.95579108342229,0.0232526292261693,243,0.909988649746231,1.00159351709835,"Rs12","yes","Pinsylv"
"98","hotspot",0.685444528735262,0.0237321153259341,243,0.638697615616922,0.732191441853601,"Rs12","yes","Pinsylv"
"99","coldspot",1.10618268491726,0.044682048456505,236,1.0181560623244,1.19420930751012,"Rs17","yes","Pinsylv"
"100","hotspot",1.41946914672975,0.0458230503489609,236,1.32919467412923,1.50974361933027,"Rs17","yes","Pinsylv"
"101","coldspot",16.132,0.661004796779464,83,14.8172880447028,17.4467119552972,"height","yes","Pinpine"
"102","hotspot",12.6316666666667,0.426676761615015,83,11.783023748679,13.4803095846543,"height","yes","Pinpine"
"103","coldspot",52.344,1.74591729379921,83,48.8714407231211,55.8165592768789,"dbh","yes","Pinpine"
"104","hotspot",46.0816666666666,1.12698476712331,83,43.8401392919883,48.323194041345,"dbh","yes","Pinpine"
"105","coldspot",25.0469201081547,2.87488331499569,82,19.3278613800315,30.7659788362779,"hegyi_index","no","Pinpine"
"106","hotspot",30.4876455369172,1.81823585652033,82,26.8705952062902,34.1046958675442,"hegyi_index","no","Pinpine"
"107","coldspot",54.0556531161044,0.509462382896086,78,53.0413914244459,55.0699148077629,"wc_22","no","Pinpine"
"108","hotspot",54.6444725585101,0.323622428648324,78,54.0001897950339,55.2887553219863,"wc_22","no","Pinpine"
"109","coldspot",47.3456207986131,0.393327012276619,82,46.5631680740682,48.1280735231581,"percent_c","no","Pinpine"
"110","hotspot",47.4509999684398,0.256034076938171,82,46.9416666279273,47.9603333089522,"percent_c","no","Pinpine"
"111","coldspot",0.954584080382054,0.030098925656694,82,0.894707729023319,1.01446043174079,"percent_n","no","Pinpine"
"112","hotspot",0.979837991227001,0.0195927317646888,82,0.940861806342507,1.0188141761115,"percent_n","no","Pinpine"
"113","coldspot",50.9441978670359,1.49688496084976,82,47.9664168365188,53.921978897553,"cn","no","Pinpine"
"114","hotspot",49.4441601141542,0.974389114583014,82,47.5057897666423,51.3825304616661,"cn","no","Pinpine"
"115","coldspot",44.4482334795576,0.815749192474676,76,42.8235281565661,46.0729388025492,"sla_22","yes","Pinpine"
"116","hotspot",42.1856066710567,0.527520359547314,76,41.1349588199164,43.2362545221969,"sla_22","yes","Pinpine"
"117","coldspot",133.48,6.07794497591243,82,121.389031270162,145.570968729838,"age","yes","Pinpine"
"118","hotspot",117.271186440678,3.95640518707704,82,109.400636182474,125.141736698882,"age","yes","Pinpine"
"119","coldspot",447.000939246066,22.4743051643646,83,402.300450186762,491.701428305371,"chlor_a_fw_22","no","Pinpine"
"120","hotspot",447.227352744449,14.5071016031946,83,418.37331112878,476.081394360117,"chlor_a_fw_22","no","Pinpine"
"121","coldspot",208.691420322894,9.70057488480185,83,189.397367032446,227.985473613342,"chlor_b_fw_22","no","Pinpine"
"122","hotspot",216.872628667837,6.26169416291259,83,204.418370822046,229.326886513627,"chlor_b_fw_22","no","Pinpine"
"123","coldspot",655.692359568961,31.6724454062255,83,592.697139516185,718.687579621737,"total_chl_fw_22","no","Pinpine"
"124","hotspot",664.099981412285,20.4444755986625,83,623.436741719773,704.763221104797,"total_chl_fw_22","no","Pinpine"
"125","coldspot",26.79142883454,0.989600113492565,83,24.8231540103465,28.7597036587334,"xc_fw_22","no","Pinpine"
"126","hotspot",27.5113816478092,0.638784126493614,83,26.2408657119991,28.7818975836193,"xc_fw_22","no","Pinpine"
"127","coldspot",2.13770994371074,0.0426483412454676,83,2.05288410828232,2.22253577913916,"chla_chlb_22","no","Pinpine"
"128","hotspot",2.0623269248889,0.0275293858978445,83,2.00757208356517,2.11708176621264,"chla_chlb_22","no","Pinpine"
"129","coldspot",24.2487067829508,0.557579725100387,83,23.139703135485,25.3577104304165,"chl_xc_22","no","Pinpine"
"130","hotspot",23.9814734687754,0.359916164916119,83,23.2656146925224,24.6973322450285,"chl_xc_22","no","Pinpine"
"131","coldspot",-25.084870683768,0.265922186283427,82,-25.613874623696,-24.5558667438401,"leaf_d13c","no","Pinpine"
"132","hotspot",-25.1738338115853,0.173100599189395,82,-25.5181860458042,-24.8294815773664,"leaf_d13c","no","Pinpine"
"133","coldspot",-4.53609897716585,0.327242142881843,82,-5.18708784467784,-3.88511010965386,"leaf_d15n","no","Pinpine"
"134","hotspot",-3.90895312828033,0.213016491044091,82,-4.33271078689046,-3.4851954696702,"leaf_d15n","no","Pinpine"
"135","coldspot",34.7383174618304,0.208372920934862,82,34.3237973434099,35.1528375802508,"leaf_d18o_corrected","no","Pinpine"
"136","hotspot",35.2445425424852,0.135639218272015,82,34.9747129285012,35.5143721564692,"leaf_d18o_corrected","no","Pinpine"
"137","coldspot",995.55424,86.8251926214775,82,822.831273091138,1168.27720690886,"mean_1980","no","Pinpine"
"138","hotspot",883.219084745763,56.518386365452,82,770.786009929554,995.652159561971,"mean_1980","no","Pinpine"
"139","coldspot",847.67696,78.7091616438325,82,691.099364125262,1004.25455587474,"mean_05","no","Pinpine"
"140","hotspot",807.715237288136,51.2353001931208,82,705.791903833497,909.638570742774,"mean_05","no","Pinpine"
"141","coldspot",0.535516589435466,0.0351042026345022,82,0.465683147701168,0.605350031169764,"Rt12","yes","Pinpine"
"142","hotspot",0.649774520367322,0.02285088955918,82,0.604316821720167,0.695232219014477,"Rt12","yes","Pinpine"
"143","coldspot",0.653059506509018,0.0346879398724913,82,0.584054144011834,0.722064869006203,"Rt17","yes","Pinpine"
"144","hotspot",0.745156522182023,0.0225799255808397,82,0.700237857205296,0.79007518715875,"Rt17","yes","Pinpine"
"145","coldspot",1.09090774168709,0.0910956955691409,82,0.909689384016129,1.27212609935804,"Rt22","yes","Pinpine"
"146","hotspot",1.36236872359075,0.0592982470059355,82,1.24440562041617,1.48033182676532,"Rt22","yes","Pinpine"
"147","coldspot",1.19646477194004,0.0470987834920963,82,1.10277028792066,1.29015925595942,"Rs12","no","Pinpine"
"148","hotspot",1.14586267091503,0.030658696656788,82,1.08487275671806,1.206852585112,"Rs12","no","Pinpine"
"149","coldspot",0.719600164807207,0.03737017431563,82,0.645258983557696,0.793941346056719,"Rs17","yes","Pinpine"
"150","hotspot",0.83327238531173,0.0243259114865771,82,0.784880398172221,0.88166437245124,"Rs17","yes","Pinpine"
