"","plot_id","Tmin","Tmax","Prcp"
"38","GUA06",5.73622896984948,14.4666407039736,622.905342465753
"39","GUA07",6.16529518861124,15.1128437265114,545.527260273973
"40","GUA08",6.46173702403695,15.6440663725753,512.907945205479
"41","GUA09",6.46173702403695,15.6440663725753,512.907945205479
"42","GUA10",4.84986809159491,13.5368147408704,829.723424657534
"43","GUA11",5.34063942732158,14.2469328952725,720.317534246575
"44","GUA12",5.34063942732158,14.2469328952725,720.317534246575
"45","GUA13",5.34063942732158,14.2469328952725,720.317534246575
"46","GUA14",5.34063942732158,14.2469328952725,720.317534246575
"47","GUA15",5.34063942732158,14.2469328952725,720.317534246575
"48","NAV01",8.76186642835829,19.9636017583959,360.335479452055
"49","NAV02",8.76186642835829,19.9636017583959,360.335479452055
"50","NAV03",8.76186642835829,19.9636017583959,360.335479452055
"51","NAV04",8.76186642835829,19.9636017583959,360.335479452055
"52","NAV05",8.52487982551397,19.6244479777114,366.966301369863
"53","NAV06",8.73601778494207,19.9605484025443,358.511780821918
"54","NAV07",8.73601778494207,19.9605484025443,358.511780821918
"55","NAV08",8.73601778494207,19.9605484025443,358.511780821918
"56","NAV09",8.52487982551397,19.6244479777114,366.966301369863
"57","NAV10",8.76186642835829,19.9636017583959,360.335479452055
"58","NAV11",8.8707480719478,20.1083137764598,357.604383561644
"59","OZA01",3.63253499821064,13.2108900141201,1023.48356164384
"60","OZA02",3.63253499821064,13.2108900141201,1023.48356164384
"61","OZA03",3.63253499821064,13.2108900141201,1023.48356164384
"62","OZA04",3.63253499821064,13.2108900141201,1023.48356164384
"63","OZA05",3.63253499821064,13.2108900141201,1023.48356164384
"64","OZA06",3.63253499821064,13.2108900141201,1023.48356164384
"65","PEL01",8.11917951060647,19.2946696814112,377.878630136986
"66","PEL02",8.11917951060647,19.2946696814112,377.878630136986
"67","PEL03",8.11917951060647,19.2946696814112,377.878630136986
"68","PEL04",8.11917951060647,19.2946696814112,377.878630136986
"69","PEL05",8.11917951060647,19.2946696814112,377.878630136986
"70","PEL06",8.11917951060647,19.2946696814112,377.878630136986
"71","RON01",5.60348388188354,16.0030115534446,960.84095890411
"72","RON02",5.60348388188354,16.0030115534446,960.84095890411
"73","RON03",5.33845352012445,15.7273785257899,968.795479452055
"74","RON04",5.33845352012445,15.7273785257899,968.795479452055
"75","RON05",5.60348388188354,16.0030115534446,960.84095890411
"76","RON06",5.33845352012445,15.7273785257899,968.795479452055
"77","SAR01",5.52767881588217,15.766860648047,978.146301369863
"78","SAR02",5.52767881588217,15.766860648047,978.146301369863
"79","SAR03",5.52767881588217,15.766860648047,978.146301369863
"80","SAR04",5.52767881588217,15.766860648047,978.146301369863
"81","SAR05",5.52767881588217,15.766860648047,978.146301369863
"82","SAR06",5.52767881588217,15.766860648047,978.146301369863
"83","TRA01",2.17226272370891,15.3857047108973,535.702739726027
"84","TRA02",2.17226272370891,15.3857047108973,535.702739726027
"85","TRA03",2.17226272370891,15.3857047108973,535.702739726027
"86","TRA04",2.17226272370891,15.3857047108973,535.702739726027
"87","URZ01",3.1318741590247,13.5993107914525,1093.21890410959
"88","URZ02",3.1318741590247,13.5993107914525,1093.21890410959
"89","URZ03",3.1318741590247,13.5993107914525,1093.21890410959
"90","URZ04",3.31199584088301,13.8177690264734,1081.56246575342
"91","URZ05",3.1318741590247,13.5993107914525,1093.21890410959
"92","URZ06",4.2771888470858,14.5606505623934,1033.74780821918
