"","variable","estimate_cold","estimate_hot","std_error_cold","std_error_hot","df_cold","df_hot","t_val_cold","t_val_hot","p_val_cold","p_val_hot","ci_lower_cold","ci_upper_cold","ci_lower_hot","ci_upper_hot"
"15","chl_xc_22",24.0042810519224,24.1442778176965,0.713956487993169,0.737652301563237,3.55478672480055,44.5475096277434,33.6214901826791,0.189786930071882,1.40148598099951e-05,0.850338250305184,21.3885183874047,26.6200437164401,18.3730612639277,29.9154943714653
"16","leaf_d13c",-25.4820387790867,-25.2244784481401,0.569971348957621,0.350847618688527,1.68277591416582,81.8439603459486,-44.7075784172115,0.734108818835131,0.00138047160342522,0.464980366986975,-28.4818528121293,-22.482224746044,-31.5552040482583,-18.8937528480219
"17","leaf_d15n",-3.89530383607887,-3.85835442120657,0.849642110750639,0.415847931887966,1.37819113784688,81.9508414304401,-4.58464074083789,0.0888531889639217,0.0850140299201399,0.929415368544954,-9.72306524501513,1.93245757285738,-13.8081130532769,6.09140421086378
"18","leaf_d18o_corrected",19.9004137540169,20.2659643607984,0.22084414393609,0.253008751593714,81.9999999994986,81.9999999989456,90.1106699020096,1.4448140804572,8.74263196851643e-84,0.152320698520557,18.7108160826095,21.0900114254243,18.5278453203942,22.0040834012026
"19","mean_1980",1035.6919,879.45225,96.6000405311099,110.669249467403,81.9999999980019,81.9999999986297,10.7214437416976,-1.41177111755888,2.85002695005038e-17,0.161800856594708,515.346731567958,1556.03706843204,119.176850533211,1639.72764946679
"20","mean_05",827.3198,817.198859375,88.0912133381968,100.921163295698,81.9999999975524,81.9999999968443,9.39162679964212,-0.100285612001375,1.19816433247435e-14,0.920362367701623,352.808226404017,1301.83137359598,123.890843746858,1510.50687500314
"21","Rt12",0.611142520853402,0.651767801912165,0.0961480237683945,0.0442632751533937,1.32608347666685,81.8927141276173,6.35626710670152,0.917810101443624,0.0593920042982114,0.361413518855763,-0.0895144880246802,1.31179952973148,-0.485476882342356,1.78901248616669
"22","Rt17",0.775450989251337,0.748551664914086,0.126522306690468,0.0388127043213668,1.13004157169777,81.4685646464751,6.12896657937521,-0.693054627539644,0.0836436365901108,0.490246343141094,-0.455566505645671,2.00646848414835,-0.810399428016689,2.30750275784486
"23","Rt22",1.41566914541185,1.36101001061786,0.317529214855259,0.106098974465935,1.15673149196987,81.5458088867361,4.45839021791163,-0.515171188686035,0.114761167340488,0.607827143319665,-1.53427979770086,4.36561808852455,-2.52837667969189,5.25039670092761
"24","Rs12",1.10261552184897,1.1482359432371,0.0987920795628166,0.0626494196127665,1.74093078653191,81.7367048422918,11.1609708665751,0.728185858226725,0.0126939863014465,0.468580862599791,0.601886810645191,1.60334423305274,0.0610402613321106,2.23543162514208
"25","Rs17",0.818035917842534,0.826793023314053,0.0955007903691008,0.0490129606323866,1.42525629752422,81.9840457377443,8.56575023809655,0.17866917971349,0.033826892989287,0.858638256894849,0.195011424176615,1.44106041150845,-0.281825710063797,1.9354117566919
