"","date","plot_id","spei12","year","month","spei18","spei24"
"18267","1966-07-16","NAV01",1.58486711978912,1966,7,0.678586900234222,-0.0563671365380287
"18268","1966-07-16","PEL01",1.58486711978912,1966,7,0.678586900234222,-0.0563671365380287
"18269","1966-07-16","PEL02",1.58486711978912,1966,7,0.678586900234222,-0.0563671365380287
"18270","1966-07-16","PEL03",1.58486711978912,1966,7,0.678586900234222,-0.0563671365380287
"18271","1966-07-16","PEL04",1.58486711978912,1966,7,0.678586900234222,-0.0563671365380287
"18272","1966-07-16","PEL05",1.58486711978912,1966,7,0.678586900234222,-0.0563671365380287
"18273","1966-07-16","PEL06",1.58486711978912,1966,7,0.678586900234222,-0.0563671365380287
"18274","1966-07-16","SAR05",1.52846658229828,1966,7,0.963455975055695,1.00645041465759
"18275","1966-07-16","SAR04",1.52846658229828,1966,7,0.963455975055695,1.00645041465759
"18276","1966-07-16","SAR03",1.52846658229828,1966,7,0.963455975055695,1.00645041465759
"18277","1966-07-16","SAR02",1.52846658229828,1966,7,0.963455975055695,1.00645041465759
"18278","1966-07-16","SAR06",1.52846658229828,1966,7,0.963455975055695,1.00645041465759
"18279","1966-07-16","SAR01",1.52846658229828,1966,7,0.963455975055695,1.00645041465759
"18280","1966-07-16","BAS06",0.62210351228714,1966,7,-0.0550372786819935,0.398551613092422
"18281","1966-07-16","BAS05",0.62210351228714,1966,7,-0.0550372786819935,0.398551613092422
"18282","1966-07-16","BAS04",0.62210351228714,1966,7,-0.0550372786819935,0.398551613092422
"18283","1966-07-16","BAS03",0.62210351228714,1966,7,-0.0550372786819935,0.398551613092422
"18284","1966-07-16","BAS02",0.62210351228714,1966,7,-0.0550372786819935,0.398551613092422
"18285","1966-07-16","BAS01",0.62210351228714,1966,7,-0.0550372786819935,0.398551613092422
"18286","1966-07-16","URZ06",0.62210351228714,1966,7,-0.0550372786819935,0.398551613092422
"18287","1966-07-16","URZ05",0.62210351228714,1966,7,-0.0550372786819935,0.398551613092422
"18288","1966-07-16","URZ04",0.62210351228714,1966,7,-0.0550372786819935,0.398551613092422
"18289","1966-07-16","OZA06",0.62210351228714,1966,7,-0.0550372786819935,0.398551613092422
"18290","1966-07-16","OZA05",0.62210351228714,1966,7,-0.0550372786819935,0.398551613092422
"18291","1966-07-16","OZA04",0.62210351228714,1966,7,-0.0550372786819935,0.398551613092422
