"","Group1","Group2","P_value_adjusted","Variable","Tipo"
"155","Pinsylv_hotspot","Abialba_coldspot",1.43973034388555e-14,"mean_20","vuln"
"156","Abialba_hotspot","Abialba_hotspot",NA,"mean_20","vuln"
"157","Pinpine_coldspot","Abialba_hotspot",1,"mean_20","vuln"
"158","Pinpine_hotspot","Abialba_hotspot",1,"mean_20","vuln"
"159","Pinsylv_coldspot","Abialba_hotspot",1,"mean_20","vuln"
"160","Pinsylv_hotspot","Abialba_hotspot",5.32438019007633e-08,"mean_20","vuln"
"161","Abialba_hotspot","Pinpine_coldspot",NA,"mean_20","vuln"
"162","Pinpine_coldspot","Pinpine_coldspot",NA,"mean_20","vuln"
"163","Pinpine_hotspot","Pinpine_coldspot",1,"mean_20","vuln"
"164","Pinsylv_coldspot","Pinpine_coldspot",1,"mean_20","vuln"
"165","Pinsylv_hotspot","Pinpine_coldspot",2.41444967184655e-06,"mean_20","vuln"
"166","Abialba_hotspot","Pinpine_hotspot",NA,"mean_20","vuln"
"167","Pinpine_coldspot","Pinpine_hotspot",NA,"mean_20","vuln"
"168","Pinpine_hotspot","Pinpine_hotspot",NA,"mean_20","vuln"
"169","Pinsylv_coldspot","Pinpine_hotspot",1,"mean_20","vuln"
"170","Pinsylv_hotspot","Pinpine_hotspot",7.60983632196214e-13,"mean_20","vuln"
"171","Abialba_hotspot","Pinsylv_coldspot",NA,"mean_20","vuln"
"172","Pinpine_coldspot","Pinsylv_coldspot",NA,"mean_20","vuln"
"173","Pinpine_hotspot","Pinsylv_coldspot",NA,"mean_20","vuln"
"174","Pinsylv_coldspot","Pinsylv_coldspot",NA,"mean_20","vuln"
"175","Pinsylv_hotspot","Pinsylv_coldspot",1.43251907042194e-11,"mean_20","vuln"
"176","Abialba_hotspot","Abialba_coldspot",0.00522394238414486,"mean_15","vuln"
"177","Pinpine_coldspot","Abialba_coldspot",0.0508824734277705,"mean_15","vuln"
"178","Pinpine_hotspot","Abialba_coldspot",0.000128774319729396,"mean_15","vuln"
"179","Pinsylv_coldspot","Abialba_coldspot",0.000411201502353251,"mean_15","vuln"
"180","Pinsylv_hotspot","Abialba_coldspot",4.87329961358427e-14,"mean_15","vuln"
"181","Abialba_hotspot","Abialba_hotspot",NA,"mean_15","vuln"
"182","Pinpine_coldspot","Abialba_hotspot",1,"mean_15","vuln"
"183","Pinpine_hotspot","Abialba_hotspot",1,"mean_15","vuln"
"184","Pinsylv_coldspot","Abialba_hotspot",1,"mean_15","vuln"
"185","Pinsylv_hotspot","Abialba_hotspot",1.98465856667807e-08,"mean_15","vuln"
"186","Abialba_hotspot","Pinpine_coldspot",NA,"mean_15","vuln"
"187","Pinpine_coldspot","Pinpine_coldspot",NA,"mean_15","vuln"
"188","Pinpine_hotspot","Pinpine_coldspot",1,"mean_15","vuln"
"189","Pinsylv_coldspot","Pinpine_coldspot",1,"mean_15","vuln"
"190","Pinsylv_hotspot","Pinpine_coldspot",3.75972312220505e-06,"mean_15","vuln"
"191","Abialba_hotspot","Pinpine_hotspot",NA,"mean_15","vuln"
"192","Pinpine_coldspot","Pinpine_hotspot",NA,"mean_15","vuln"
"193","Pinpine_hotspot","Pinpine_hotspot",NA,"mean_15","vuln"
"194","Pinsylv_coldspot","Pinpine_hotspot",1,"mean_15","vuln"
"195","Pinsylv_hotspot","Pinpine_hotspot",4.39350148583311e-12,"mean_15","vuln"
"196","Abialba_hotspot","Pinsylv_coldspot",NA,"mean_15","vuln"
"197","Pinpine_coldspot","Pinsylv_coldspot",NA,"mean_15","vuln"
"198","Pinpine_hotspot","Pinsylv_coldspot",NA,"mean_15","vuln"
"199","Pinsylv_coldspot","Pinsylv_coldspot",NA,"mean_15","vuln"
"200","Pinsylv_hotspot","Pinsylv_coldspot",1.35346222709029e-12,"mean_15","vuln"
"201","Abialba_hotspot","Abialba_coldspot",0.050612503700191,"mean_10","vuln"
"202","Pinpine_coldspot","Abialba_coldspot",0.261756611521814,"mean_10","vuln"
"203","Pinpine_hotspot","Abialba_coldspot",0.00920874547451729,"mean_10","vuln"
"204","Pinsylv_coldspot","Abialba_coldspot",0.0151983701738745,"mean_10","vuln"
"205","Pinsylv_hotspot","Abialba_coldspot",1.98000015070473e-12,"mean_10","vuln"
"206","Abialba_hotspot","Abialba_hotspot",NA,"mean_10","vuln"
"207","Pinpine_coldspot","Abialba_hotspot",1,"mean_10","vuln"
"208","Pinpine_hotspot","Abialba_hotspot",1,"mean_10","vuln"
"209","Pinsylv_coldspot","Abialba_hotspot",1,"mean_10","vuln"
"210","Pinsylv_hotspot","Abialba_hotspot",9.79824711660725e-08,"mean_10","vuln"
"211","Abialba_hotspot","Pinpine_coldspot",NA,"mean_10","vuln"
"212","Pinpine_coldspot","Pinpine_coldspot",NA,"mean_10","vuln"
"213","Pinpine_hotspot","Pinpine_coldspot",1,"mean_10","vuln"
"214","Pinsylv_coldspot","Pinpine_coldspot",1,"mean_10","vuln"
"215","Pinsylv_hotspot","Pinpine_coldspot",7.00757802518628e-06,"mean_10","vuln"
"216","Abialba_hotspot","Pinpine_hotspot",NA,"mean_10","vuln"
"217","Pinpine_coldspot","Pinpine_hotspot",NA,"mean_10","vuln"
"218","Pinpine_hotspot","Pinpine_hotspot",NA,"mean_10","vuln"
"219","Pinsylv_coldspot","Pinpine_hotspot",1,"mean_10","vuln"
"220","Pinsylv_hotspot","Pinpine_hotspot",3.57394564500937e-12,"mean_10","vuln"
"221","Abialba_hotspot","Pinsylv_coldspot",NA,"mean_10","vuln"
"222","Pinpine_coldspot","Pinsylv_coldspot",NA,"mean_10","vuln"
"223","Pinpine_hotspot","Pinsylv_coldspot",NA,"mean_10","vuln"
"224","Pinsylv_coldspot","Pinsylv_coldspot",NA,"mean_10","vuln"
"225","Pinsylv_hotspot","Pinsylv_coldspot",1.03908161323412e-12,"mean_10","vuln"
"226","Abialba_hotspot","Abialba_coldspot",0.126159913316968,"mean_05","vuln"
"227","Pinpine_coldspot","Abialba_coldspot",1,"mean_05","vuln"
"228","Pinpine_hotspot","Abialba_coldspot",0.183250358703438,"mean_05","vuln"
"229","Pinsylv_coldspot","Abialba_coldspot",0.754493347761483,"mean_05","vuln"
"230","Pinsylv_hotspot","Abialba_coldspot",4.31560994845634e-09,"mean_05","vuln"
"231","Abialba_hotspot","Abialba_hotspot",NA,"mean_05","vuln"
"232","Pinpine_coldspot","Abialba_hotspot",1,"mean_05","vuln"
"233","Pinpine_hotspot","Abialba_hotspot",1,"mean_05","vuln"
"234","Pinsylv_coldspot","Abialba_hotspot",1,"mean_05","vuln"
"235","Pinsylv_hotspot","Abialba_hotspot",0.000419498328344943,"mean_05","vuln"
"236","Abialba_hotspot","Pinpine_coldspot",NA,"mean_05","vuln"
"237","Pinpine_coldspot","Pinpine_coldspot",NA,"mean_05","vuln"
"238","Pinpine_hotspot","Pinpine_coldspot",1,"mean_05","vuln"
"239","Pinsylv_coldspot","Pinpine_coldspot",1,"mean_05","vuln"
"240","Pinsylv_hotspot","Pinpine_coldspot",0.000397891416069624,"mean_05","vuln"
"241","Abialba_hotspot","Pinpine_hotspot",NA,"mean_05","vuln"
"242","Pinpine_coldspot","Pinpine_hotspot",NA,"mean_05","vuln"
"243","Pinpine_hotspot","Pinpine_hotspot",NA,"mean_05","vuln"
"244","Pinsylv_coldspot","Pinpine_hotspot",1,"mean_05","vuln"
"245","Pinsylv_hotspot","Pinpine_hotspot",3.19429753105739e-08,"mean_05","vuln"
"246","Abialba_hotspot","Pinsylv_coldspot",NA,"mean_05","vuln"
"247","Pinpine_coldspot","Pinsylv_coldspot",NA,"mean_05","vuln"
"248","Pinpine_hotspot","Pinsylv_coldspot",NA,"mean_05","vuln"
"249","Pinsylv_coldspot","Pinsylv_coldspot",NA,"mean_05","vuln"
"250","Pinsylv_hotspot","Pinsylv_coldspot",2.59854483067781e-10,"mean_05","vuln"
"251","Abialba_hotspot","Abialba_coldspot",0.496741239457421,"Rt12","vuln"
"252","Pinpine_coldspot","Abialba_coldspot",6.38225680380557e-05,"Rt12","vuln"
"253","Pinpine_hotspot","Abialba_coldspot",0.0583797480146217,"Rt12","vuln"
"254","Pinsylv_coldspot","Abialba_coldspot",0.018254158402552,"Rt12","vuln"
"255","Pinsylv_hotspot","Abialba_coldspot",0.203092789858443,"Rt12","vuln"
"256","Abialba_hotspot","Abialba_hotspot",NA,"Rt12","vuln"
"257","Pinpine_coldspot","Abialba_hotspot",2.19463472435524e-07,"Rt12","vuln"
"258","Pinpine_hotspot","Abialba_hotspot",1.18163424954766e-05,"Rt12","vuln"
"259","Pinsylv_coldspot","Abialba_hotspot",1,"Rt12","vuln"
"260","Pinsylv_hotspot","Abialba_hotspot",0.00022990359213063,"Rt12","vuln"
"261","Abialba_hotspot","Pinpine_coldspot",NA,"Rt12","vuln"
"262","Pinpine_coldspot","Pinpine_coldspot",NA,"Rt12","vuln"
"263","Pinpine_hotspot","Pinpine_coldspot",0.178420436579235,"Rt12","vuln"
"264","Pinsylv_coldspot","Pinpine_coldspot",1.87374998074984e-07,"Rt12","vuln"
"265","Pinsylv_hotspot","Pinpine_coldspot",0.649652317664411,"Rt12","vuln"
"266","Abialba_hotspot","Pinpine_hotspot",NA,"Rt12","vuln"
"267","Pinpine_coldspot","Pinpine_hotspot",NA,"Rt12","vuln"
"268","Pinpine_hotspot","Pinpine_hotspot",NA,"Rt12","vuln"
"269","Pinsylv_coldspot","Pinpine_hotspot",7.70537532442011e-10,"Rt12","vuln"
"270","Pinsylv_hotspot","Pinpine_hotspot",1,"Rt12","vuln"
"271","Abialba_hotspot","Pinsylv_coldspot",NA,"Rt12","vuln"
"272","Pinpine_coldspot","Pinsylv_coldspot",NA,"Rt12","vuln"
"273","Pinpine_hotspot","Pinsylv_coldspot",NA,"Rt12","vuln"
"274","Pinsylv_coldspot","Pinsylv_coldspot",NA,"Rt12","vuln"
"275","Pinsylv_hotspot","Pinsylv_coldspot",6.21037417532416e-10,"Rt12","vuln"
