"","Group1","Group2","P_value_adjusted","Variable","Tipo","significant","grupo1","grupo2","match"
"425","Pinsylv_hot_healthy","Pinsylv_hot_damaged",1,"percent_n","var",0,"Pinsylv","Pinsylv","Yes"
"427","Abialba_hot_healthy","Abialba_hot_damaged",1,"cn_ratio","var",0,"Abialba","Abialba","Yes"
"432","all_hot_healthy","all_hot_damaged",1,"cn_ratio","var",0,"all","all","Yes"
"437","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"cn_ratio","var",0,"Pinpine","Pinpine","Yes"
"442","Pinsylv_hot_healthy","Pinsylv_hot_damaged",1,"cn_ratio","var",0,"Pinsylv","Pinsylv","Yes"
"444","Abialba_hot_healthy","Abialba_hot_damaged",1,"leaf_d13c","var",0,"Abialba","Abialba","Yes"
"449","all_hot_healthy","all_hot_damaged",1,"leaf_d13c","var",0,"all","all","Yes"
"454","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"leaf_d13c","var",0,"Pinpine","Pinpine","Yes"
"459","Pinsylv_hot_healthy","Pinsylv_hot_damaged",1,"leaf_d13c","var",0,"Pinsylv","Pinsylv","Yes"
"461","Abialba_hot_healthy","Abialba_hot_damaged",1,"leaf_d15n","var",0,"Abialba","Abialba","Yes"
"466","all_hot_healthy","all_hot_damaged",6.41048626481536e-06,"leaf_d15n","var",1,"all","all","Yes"
"471","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"leaf_d15n","var",0,"Pinpine","Pinpine","Yes"
"476","Pinsylv_hot_healthy","Pinsylv_hot_damaged",0.421571114254797,"leaf_d15n","var",0,"Pinsylv","Pinsylv","Yes"
"478","Abialba_hot_healthy","Abialba_hot_damaged",1,"leaf_d18o","var",0,"Abialba","Abialba","Yes"
"483","all_hot_healthy","all_hot_damaged",1,"leaf_d18o","var",0,"all","all","Yes"
"488","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"leaf_d18o","var",0,"Pinpine","Pinpine","Yes"
"493","Pinsylv_hot_healthy","Pinsylv_hot_damaged",1,"leaf_d18o","var",0,"Pinsylv","Pinsylv","Yes"
